id,name,website,entity_type,primary_category,secondary_categories,cxo_roles,categories,headquarters,geographies,founded_year,verification_status
"ent_salesforce","Salesforce","https://www.salesforce.com/","software company","Enterprise Technology","Artificial Intelligence","CMO|CIO|CTO|COO","Enterprise Technology|Artificial Intelligence","","United States|San Francisco Bay Area","","verified"
"ent_adobe","Adobe","https://www.adobe.com/","software company","Enterprise Technology","Artificial Intelligence","CMO|CIO|CTO","Enterprise Technology|Artificial Intelligence","","United States|Silicon Valley|San Francisco Bay Area","","verified"
"ent_zscaler","Zscaler","https://www.zscaler.com/","cybersecurity company","Cybersecurity","Enterprise Technology","CISO|CIO|CTO","Cybersecurity|Enterprise Technology","","United States|Silicon Valley|San Francisco Bay Area","","verified"
"ent_stanford_executive_education","Stanford Graduate School of Business Executive Education","https://www.gsb.stanford.edu/exec-ed","university executive education program","Executive Education","","CEO|CFO|CMO|CIO|CTO|COO|CHRO|Board","Executive Education","","United States|Silicon Valley|San Francisco Bay Area","","verified"
"ent_open_future_forum","Open Future Forum","https://openfutureforum.com/","executive community","Executive Communities","","CEO|CFO|CMO|CISO|CTO|Board","Executive Communities","","United States|Silicon Valley|San Francisco Bay Area","2019","verified"
"ent_cooley","Cooley","https://www.cooley.com/","law firm","Law Firms","","CEO|CFO|CLO|General Counsel|Board","Law Firms","","United States|Silicon Valley|San Francisco Bay Area|New York|Boston|London","","verified"
"ent_sequoia_capital","Sequoia Capital","https://www.sequoiacap.com/","venture capital firm","Venture Capital","","CEO|CFO|Board","Venture Capital","","United States|Silicon Valley|San Francisco Bay Area|London","","verified"
"ent_thoma_bravo","Thoma Bravo","https://www.thomabravo.com/","private equity firm","Private Equity","","CEO|CFO|COO|Board","Private Equity","","United States|San Francisco Bay Area|Chicago|London","","verified"
"ent_workday","Workday","https://www.workday.com/","software company","Enterprise Technology","","CFO|CHRO|CIO","Enterprise Technology","","United States|San Francisco Bay Area","","verified"
"ent_palo_alto_networks","Palo Alto Networks","https://www.paloaltonetworks.com/","cybersecurity company","Cybersecurity","Enterprise Technology|Artificial Intelligence","CISO|CIO|CTO","Cybersecurity|Enterprise Technology|Artificial Intelligence","","United States|Silicon Valley|San Francisco Bay Area","","verified"
"ent_brex","Brex","https://www.brex.com/","Organization","CFO Technology","Spend Management|Fintech","CFO","CFO Technology|Spend Management|Fintech","San Francisco, California, United States","United States","2017","verified"
"ent_agentic_fabriq","Agentic Fabriq","https://agenticfabriq.com/","Organization","AI Security","Agent Identity|Identity and Access Management|AI Infrastructure","CISO|CIO|CTO","AI Security|Agent Identity|Identity and Access Management|AI Infrastructure","San Francisco, California, United States","United States","2025","verified"
