id,name,slug,entity_type,primary_category,secondary_categories,website,cxo_roles,categories,provider_types,community_formats,event_formats,intelligence_types,resource_types,executive_needs,topics,audiences,industries,geographies,verification_status,last_verified
"ent_ey","EY","ey","professional services firm","Accounting","Consulting|Finance Advisory","https://www.ey.com/","CEO|CFO|CISO|CIO|CTO|COO|CHRO|CLO|Board","Accounting|Consulting|Finance Advisory","accounting|consulting|finance-advisory","","","","","strategic-insight|decision-support|risk-management|transformation","enterprise-ai|finance-transformation|cybersecurity|risk","","","United States|New York|Boston|Chicago|London|Singapore","verified","2026-08-11"
"ent_kpmg","KPMG","kpmg","professional services firm","Accounting","Consulting|Finance Advisory","https://kpmg.com/","CEO|CFO|CISO|CIO|CTO|COO|CHRO|CLO|Board","Accounting|Consulting|Finance Advisory","accounting|consulting|finance-advisory","","","","","strategic-insight|decision-support|risk-management|transformation","enterprise-ai|finance-transformation|cybersecurity|risk","","","United States|New York|Boston|Chicago|London|Singapore","verified","2026-08-11"
"ent_mckinsey","McKinsey & Company","mckinsey-company","consultancy","Consulting","","https://www.mckinsey.com/","CEO|CFO|CMO|CISO|CIO|CTO|COO|CHRO|Board","Consulting","consulting","","","","","strategic-insight|decision-support|transformation|value-creation","enterprise-ai|finance-transformation|growth|go-to-market","","","United States|New York|Boston|Silicon Valley|London|Singapore","verified","2026-08-11"
"ent_bcg","Boston Consulting Group","boston-consulting-group","consultancy","Consulting","","https://www.bcg.com/","CEO|CFO|CMO|CISO|CIO|CTO|COO|CHRO|Board","Consulting","consulting","","","","","strategic-insight|decision-support|transformation|value-creation","enterprise-ai|finance-transformation|growth|go-to-market","","","United States|Boston|New York|San Francisco Bay Area|London|Singapore","verified","2026-08-11"
"ent_bain","Bain & Company","bain-company","consultancy","Consulting","","https://www.bain.com/","CEO|CFO|CMO|CIO|CTO|COO|CHRO|Board","Consulting","consulting","","","","","strategic-insight|decision-support|transformation|value-creation","enterprise-ai|finance-transformation|growth|go-to-market|private-equity","","","United States|Boston|New York|San Francisco Bay Area|London|Singapore","verified","2026-08-11"
"ent_bank_of_america","Bank of America","bank-of-america","bank","Banks","Investment Banks|Wealth Management","https://www.bankofamerica.com/","CEO|CFO|Board","Banks|Investment Banks|Wealth Management","banks|investment-banks|wealth-management","","","","","capital-formation|fundraising|risk-management|decision-support","capital-strategy|private-markets","","","United States|New York|Chicago|Los Angeles|London|Singapore","verified","2026-08-11"
"ent_citi","Citi","citi","bank","Banks","Investment Banks|Wealth Management","https://www.citigroup.com/","CEO|CFO|Board","Banks|Investment Banks|Wealth Management","banks|investment-banks|wealth-management","","","","","capital-formation|fundraising|risk-management|decision-support","capital-strategy|private-markets","","","United States|New York|London|Singapore","verified","2026-08-11"
"ent_hsbc","HSBC","hsbc","bank","Banks","Investment Banks|Wealth Management","https://www.hsbc.com/","CEO|CFO|Board","Banks|Investment Banks|Wealth Management","banks|investment-banks|wealth-management","","","","","capital-formation|fundraising|risk-management|decision-support","capital-strategy|private-markets","","","United States|New York|London|Singapore","verified","2026-08-11"
"ent_evercore","Evercore","evercore","investment bank","Investment Banks","M&A Advisors","https://www.evercore.com/","CEO|CFO|Board","Investment Banks|M&A Advisors","investment-banks|m-a-advisors","","","","","capital-formation|fundraising|decision-support|value-creation","capital-strategy|private-equity|private-markets","","","United States|New York|San Francisco Bay Area|London","verified","2026-08-11"
"ent_lazard","Lazard","lazard","investment bank","Investment Banks","M&A Advisors|Wealth Management","https://www.lazard.com/","CEO|CFO|Board","Investment Banks|M&A Advisors|Wealth Management","investment-banks|m-a-advisors|wealth-management","","","","","capital-formation|fundraising|decision-support|value-creation","capital-strategy|private-equity|private-markets","","","United States|New York|San Francisco Bay Area|London","verified","2026-08-11"
"ent_houlihan_lokey","Houlihan Lokey","houlihan-lokey","investment bank","Investment Banks","M&A Advisors|Finance Advisory","https://www.hl.com/","CEO|CFO|Board","Investment Banks|M&A Advisors|Finance Advisory","investment-banks|m-a-advisors|finance-advisory","","","","","capital-formation|fundraising|decision-support|value-creation","capital-strategy|private-equity|private-markets","","","United States|Los Angeles|New York|San Francisco Bay Area|London","verified","2026-08-11"
"ent_andreessen_horowitz","Andreessen Horowitz","andreessen-horowitz","venture capital firm","Venture Capital","","https://a16z.com/","CEO|CFO|Board","Venture Capital","venture-capital","","","","","deal-flow|fundraising|portfolio-support","venture-capital|artificial-intelligence|emerging-technology","venture-capital-investors|founders|ai-leaders","Technology|SaaS|Artificial Intelligence|Fintech|Healthcare","United States|Silicon Valley|San Francisco Bay Area","verified","2026-08-11"
"ent_accel","Accel","accel","venture capital firm","Venture Capital","","https://www.accel.com/","CEO|CFO|Board","Venture Capital","venture-capital","","","","","deal-flow|fundraising|portfolio-support","venture-capital|artificial-intelligence|emerging-technology","venture-capital-investors|founders","Technology|SaaS|Artificial Intelligence|Cybersecurity|Fintech","United States|Silicon Valley|San Francisco Bay Area|London","verified","2026-08-11"
"ent_lightspeed","Lightspeed Venture Partners","lightspeed-venture-partners","venture capital firm","Venture Capital","","https://lsvp.com/","CEO|CFO|Board","Venture Capital","venture-capital","","","","","deal-flow|fundraising|portfolio-support","venture-capital|artificial-intelligence|emerging-technology","venture-capital-investors|founders","Technology|SaaS|Artificial Intelligence|Fintech|Healthcare","United States|Silicon Valley|San Francisco Bay Area|London|Singapore","verified","2026-08-11"
"ent_kkr","KKR","kkr","private equity firm","Private Equity","Private Credit","https://www.kkr.com/","CEO|CFO|COO|Board","Private Equity|Private Credit","private-equity|private-credit","","","","","portfolio-support|portfolio-operations|value-creation","private-equity|private-markets|portfolio-operations|value-creation","private-equity-leaders|operating-partners","Financial Services|Technology|Healthcare|Industrial","United States|New York|San Francisco Bay Area|London|Singapore","verified","2026-08-11"
"ent_blackstone","Blackstone","blackstone","alternative investment firm","Private Equity","Private Credit","https://www.blackstone.com/","CEO|CFO|COO|Board","Private Equity|Private Credit","private-equity|private-credit","","","","","portfolio-support|portfolio-operations|value-creation","private-equity|private-markets|portfolio-operations|value-creation","private-equity-leaders|operating-partners","Financial Services|Technology|Real Estate","United States|New York|London|Singapore","verified","2026-08-11"
"ent_silver_lake","Silver Lake","silver-lake","private equity firm","Private Equity","","https://www.silverlake.com/","CEO|CFO|COO|Board","Private Equity","private-equity","","","","","portfolio-support|value-creation","private-equity|private-markets|emerging-technology","private-equity-leaders","Technology|SaaS|Artificial Intelligence","United States|Silicon Valley|San Francisco Bay Area|New York|London","verified","2026-08-11"
"ent_oracle","Oracle","oracle","software company","Enterprise Technology","Artificial Intelligence","https://www.oracle.com/","CFO|CIO|CTO|CHRO","Enterprise Technology|Artificial Intelligence","enterprise-technology|artificial-intelligence","","","","","decision-support|risk-management","enterprise-ai|finance-transformation|fpa","","Technology|SaaS|Artificial Intelligence","United States|Austin","verified","2026-08-11"
"ent_sap","SAP","sap","software company","Enterprise Technology","Artificial Intelligence","https://www.sap.com/","CFO|CIO|CTO|COO|CHRO","Enterprise Technology|Artificial Intelligence","enterprise-technology|artificial-intelligence","","","","","decision-support","enterprise-ai|finance-transformation|fpa","","Technology|SaaS|Artificial Intelligence","United States|New York|London|Singapore","verified","2026-08-11"
"ent_anaplan","Anaplan","anaplan","software company","Enterprise Technology","","https://www.anaplan.com/","CFO|COO","Enterprise Technology","enterprise-technology","","","","","decision-support","finance-transformation|fpa","","Technology|SaaS","United States|New York|San Francisco Bay Area|London|Singapore","verified","2026-08-11"
"ent_salesforce","Salesforce","salesforce","software company","Enterprise Technology","Artificial Intelligence","https://www.salesforce.com/","CMO|CIO|CTO|COO","Enterprise Technology|Artificial Intelligence","enterprise-technology|artificial-intelligence","","","","","decision-support","enterprise-ai|go-to-market|marketing|growth","","Technology|SaaS|Artificial Intelligence","United States|San Francisco Bay Area","verified","2026-08-11"
"ent_hubspot","HubSpot","hubspot","software company","Enterprise Technology","","https://www.hubspot.com/","CMO|COO|CIO","Enterprise Technology","enterprise-technology","","","","","decision-support","go-to-market|marketing|growth","","Technology|SaaS","United States|Boston|London|Singapore","verified","2026-08-11"
"ent_adobe","Adobe","adobe","software company","Enterprise Technology","Artificial Intelligence","https://www.adobe.com/","CMO|CIO|CTO","Enterprise Technology|Artificial Intelligence","enterprise-technology|artificial-intelligence","","","","","decision-support","artificial-intelligence|marketing|attribution|growth","","Technology|SaaS|Media|Artificial Intelligence","United States|Silicon Valley|San Francisco Bay Area","verified","2026-08-11"
"ent_crowdstrike","CrowdStrike","crowdstrike","cybersecurity company","Cybersecurity","Enterprise Technology|Artificial Intelligence","https://www.crowdstrike.com/","CISO|CIO|CTO","Cybersecurity|Enterprise Technology|Artificial Intelligence","cybersecurity|enterprise-technology|artificial-intelligence","","","","","risk-management","cybersecurity|artificial-intelligence|identity","","Cybersecurity|Technology|Artificial Intelligence","United States|Austin","verified","2026-08-11"
"ent_zscaler","Zscaler","zscaler","cybersecurity company","Cybersecurity","Enterprise Technology","https://www.zscaler.com/","CISO|CIO|CTO","Cybersecurity|Enterprise Technology","cybersecurity|enterprise-technology","","","","","risk-management","cybersecurity|identity","","Cybersecurity|Technology","United States|Silicon Valley|San Francisco Bay Area","verified","2026-08-11"
"ent_wiz","Wiz","wiz","cybersecurity company","Cybersecurity","Enterprise Technology","https://www.wiz.io/","CISO|CIO|CTO","Cybersecurity|Enterprise Technology","cybersecurity|enterprise-technology","","","","","risk-management","cybersecurity","","Cybersecurity|Technology|SaaS","United States|New York","verified","2026-08-11"
"ent_stanford_executive_education","Stanford Graduate School of Business Executive Education","stanford-gsb-executive-education","university executive education program","Executive Education","","https://www.gsb.stanford.edu/exec-ed","CEO|CFO|CMO|CIO|CTO|COO|CHRO|Board","Executive Education","executive-education","","","","","leadership-development|professional-development|strategic-insight","artificial-intelligence|board-governance|growth","board-members|ai-leaders","Education|Professional Services","United States|Silicon Valley|San Francisco Bay Area","verified","2026-08-11"
"ent_wharton_executive_education","Wharton Executive Education","wharton-executive-education","university executive education program","Executive Education","","https://executiveeducation.wharton.upenn.edu/","CEO|CFO|CMO|CIO|CTO|COO|CHRO|Board","Executive Education","executive-education","","","","","leadership-development|professional-development|strategic-insight","finance-transformation|marketing|growth","","Education|Professional Services","United States","verified","2026-08-11"
"ent_mit_sloan_executive_education","MIT Sloan Executive Education","mit-sloan-executive-education","university executive education program","Executive Education","","https://executive.mit.edu/","CEO|CFO|CMO|CIO|CTO|COO|CHRO|Board","Executive Education","executive-education","","","","","leadership-development|professional-development|strategic-insight","artificial-intelligence|enterprise-ai|emerging-technology","ai-leaders","Education|Technology|Professional Services","United States|Boston","verified","2026-08-11"
"ent_open_future_forum","Open Future Forum","open-future-forum","executive community","Executive Communities","","https://openfutureforum.com/","CEO|CFO|CMO|CISO|CTO|Board","Executive Communities","executive-communities","executive-community|executive-network|peer-group|executive-forum|executive-board","executive-event|executive-dinner|private-dinner|roundtable|networking-event|panel|fireside-chat","executive-research|research-report|first-party-research|survey|qualitative-research|benchmark","guide|framework","executive-networking|peer-learning|strategic-insight|decision-support|governance","artificial-intelligence|enterprise-ai|ai-governance|cybersecurity|board-governance|private-equity|venture-capital","private-equity-leaders|venture-capital-investors|corporate-venture-investors|founders|ai-leaders|board-members","Technology|Artificial Intelligence|Financial Services","United States|Silicon Valley|San Francisco Bay Area","verified","2026-08-11"
"ent_chief","Chief","chief","executive community","Executive Communities","Corporate Membership Organizations","https://chief.com/","CEO|CFO|CMO|CISO|CIO|CTO|COO|CHRO|CLO|General Counsel|Board","Executive Communities|Corporate Membership Organizations","executive-communities|corporate-membership-organizations","executive-community|executive-network|membership-organization","","","","executive-networking|peer-learning|leadership-development","","","Professional Services","United States|New York","verified","2026-08-11"
"ent_young_presidents_organization","YPO","ypo","executive community","Executive Communities","Corporate Membership Organizations","https://www.ypo.org/","CEO","Executive Communities|Corporate Membership Organizations","executive-communities|corporate-membership-organizations","executive-community|peer-network|peer-group|membership-organization","","","","executive-networking|peer-learning|leadership-development","","","Professional Services","United States","verified","2026-08-11"
"ent_spencer_stuart","Spencer Stuart","spencer-stuart","executive search firm","Executive Search","Board Advisory","https://www.spencerstuart.com/","CEO|CFO|CMO|CISO|CIO|CTO|COO|CHRO|CLO|General Counsel|Board","Executive Search|Board Advisory","executive-search|board-advisory","","","","","talent|leadership-development|board-effectiveness","board-governance|corporate-governance","board-members","Professional Services","United States|New York|Boston|Chicago|London|Singapore","verified","2026-08-11"
"ent_cooley","Cooley","cooley","law firm","Law Firms","","https://www.cooley.com/","CEO|CFO|CLO|General Counsel|Board","Law Firms","law-firms","","","","","governance|risk-management|capital-formation","corporate-governance|venture-capital|private-equity|emerging-technology","","Technology|SaaS|Artificial Intelligence|Life Sciences","United States|Silicon Valley|San Francisco Bay Area|New York|Boston|London","verified","2026-08-11"
"ent_deloitte","Deloitte","deloitte","professional services firm","Accounting","Consulting|Finance Advisory","https://www.deloitte.com/","CEO|CFO|CISO|CIO|CTO|COO|CHRO|CLO|General Counsel|Board","Accounting|Consulting|Finance Advisory","accounting|consulting|finance-advisory","","","","","strategic-insight|decision-support|risk-management|transformation","enterprise-ai|finance-transformation|cybersecurity|risk","","Professional Services|Financial Services|Technology|Healthcare|Manufacturing","United States|New York|Boston|Austin|Seattle|Los Angeles|Chicago|Washington DC|London|Singapore","verified","2026-08-11"
"ent_jpmorgan","JPMorgan Chase","jpmorgan-chase","bank","Banks","Investment Banks|Wealth Management","https://www.jpmorganchase.com/","CEO|CFO|Board","Banks|Investment Banks|Wealth Management","banks|investment-banks|wealth-management","","","","","capital-formation|fundraising|risk-management|decision-support","capital-strategy|private-markets","","Financial Services|Fintech|Technology","United States|New York|London|Singapore","verified","2026-08-11"
"ent_sequoia_capital","Sequoia Capital","sequoia-capital","venture capital firm","Venture Capital","","https://www.sequoiacap.com/","CEO|CFO|Board","Venture Capital","venture-capital","","","","","deal-flow|fundraising|portfolio-support","venture-capital|artificial-intelligence|emerging-technology","venture-capital-investors|founders|ai-leaders","Technology|SaaS|Artificial Intelligence|Fintech|Healthcare","United States|Silicon Valley|San Francisco Bay Area|London","verified","2026-08-11"
"ent_thoma_bravo","Thoma Bravo","thoma-bravo","private equity firm","Private Equity","","https://www.thomabravo.com/","CEO|CFO|COO|Board","Private Equity","private-equity","","","","","portfolio-support|portfolio-operations|value-creation","private-equity|private-markets|portfolio-operations|value-creation","private-equity-leaders|operating-partners","Technology|SaaS|Cybersecurity","United States|San Francisco Bay Area|Chicago|London","verified","2026-08-11"
"ent_workday","Workday","workday","software company","Enterprise Technology","","https://www.workday.com/","CFO|CHRO|CIO","Enterprise Technology","enterprise-technology","","","","","decision-support|transformation","finance-transformation|fpa","","Technology|SaaS","United States|San Francisco Bay Area","verified","2026-08-11"
"ent_palo_alto_networks","Palo Alto Networks","palo-alto-networks","cybersecurity company","Cybersecurity","Enterprise Technology|Artificial Intelligence","https://www.paloaltonetworks.com/","CISO|CIO|CTO","Cybersecurity|Enterprise Technology|Artificial Intelligence","cybersecurity|enterprise-technology|artificial-intelligence","","","","","risk-management|decision-support","cybersecurity|artificial-intelligence|enterprise-ai|ai-governance|identity","","Cybersecurity|Technology|Artificial Intelligence","United States|Silicon Valley|San Francisco Bay Area","verified","2026-08-11"
"ent_harvard_business_school_exec_ed","Harvard Business School Executive Education","harvard-business-school-executive-education","university executive education program","Executive Education","","https://www.exed.hbs.edu/","CEO|CFO|CMO|CIO|CTO|COO|CHRO|Board","Executive Education","executive-education","","","","","leadership-development|professional-development|strategic-insight","board-governance|growth","board-members","Education|Professional Services","United States|Boston","verified","2026-08-11"
"ent_capital_one","Capital One","capital-one","Financial institution","Banks","Payments","https://www.capitalone.com/","CEO|CFO","Banks|Payments","banks|payments","","","","","","","","Financial Services","United States","verified","2026-08-11"
"ent_first_citizens_bank","First Citizens Bank","first-citizens-bank","Organization","Banks","Wealth Management","https://www.firstcitizens.com/","CEO|CFO","Banks|Wealth Management","banks|wealth-management","","","","","","","","","United States","verified","2026-08-11"
"ent_silicon_valley_bank","Silicon Valley Bank","silicon-valley-bank","Organization","Banks","","https://www.svb.com/","CEO|CFO","Banks","banks","","","","","","","","","United States","verified","2026-08-11"
"ent_wells_fargo","Wells Fargo","wells-fargo","Organization","Banks","Investment Banks|Wealth Management","https://www.wellsfargo.com/","CEO|CFO","Banks|Investment Banks|Wealth Management","banks|investment-banks|wealth-management","","","","","","","","","United States","verified","2026-08-11"
"ent_citizens_private_bank","Citizens Private Bank","citizens-private-bank","Organization","Banks","Wealth Management","https://www.citizensprivatebank.com/","CEO|CFO","Banks|Wealth Management","banks|wealth-management","","","","","","","","","United States","verified","2026-08-11"
"ent_bmo","BMO","bmo","Organization","Banks","Investment Banks|Wealth Management","https://www.bmo.com/","CEO|CFO","Banks|Investment Banks|Wealth Management","banks|investment-banks|wealth-management","","","","","","","","","United States","verified","2026-08-11"
"ent_morgan_stanley","Morgan Stanley","morgan-stanley","Organization","Investment Banks","Wealth Management","https://www.morganstanley.com/","CEO|CFO|Board","Investment Banks|Wealth Management","investment-banks|wealth-management","","","","","","","","","United States","verified","2026-08-11"
"ent_comerica","Comerica","comerica","Organization","Banks","Wealth Management","https://www.comerica.com/","CEO|CFO","Banks|Wealth Management","banks|wealth-management","","","","","","","","","United States","verified","2026-08-11"
"ent_stifel","Stifel","stifel","Organization","Investment Banks","Wealth Management","https://www.stifel.com/","CEO|CFO","Investment Banks|Wealth Management","investment-banks|wealth-management","","","","","","","","","United States","verified","2026-08-11"
"ent_deutsche_bank","Deutsche Bank","deutsche-bank","Organization","Banks","Investment Banks|Wealth Management","https://www.db.com/","CEO|CFO","Banks|Investment Banks|Wealth Management","banks|investment-banks|wealth-management","","","","","","","","","United States","verified","2026-08-11"
"ent_bny","BNY","bny","Organization","Banks","Wealth Management","https://www.bny.com/","CEO|CFO","Banks|Wealth Management","banks|wealth-management","","","","","","","","","United States","verified","2026-08-11"
"ent_bernstein","Bernstein","bernstein","Organization","Wealth Management","Research Firms","https://www.bernstein.com/","CEO|CFO","Wealth Management|Research Firms","wealth-management|research-firms","","","","","","","","","United States","verified","2026-08-11"
"ent_leader_bank","Leader Bank","leader-bank","Organization","Banks","","https://www.leaderbank.com/","CEO|CFO","Banks","banks","","","","","","","","","United States","verified","2026-08-11"
"ent_northwestern_mutual","Northwestern Mutual","northwestern-mutual","Organization","Insurance","Wealth Management","https://www.northwesternmutual.com/","CEO|CFO","Insurance|Wealth Management","insurance|wealth-management","","","","","","","","","United States","verified","2026-08-11"
"ent_insight_partners","Insight Partners","insight-partners","Organization","Venture Capital","Growth Equity|Private Equity","https://www.insightpartners.com/","CEO|CFO|Board","Venture Capital|Growth Equity|Private Equity","venture-capital|growth-equity|private-equity","","","","","","","","","United States","verified","2026-08-11"
"ent_next47","Next47","next47","Organization","Venture Capital","","https://www.next47.com/","CEO|CFO|CTO","Venture Capital","venture-capital","","","","","","","","","United States","verified","2026-08-11"
"ent_westcap","WestCap","westcap","Organization","Growth Equity","Private Equity","https://www.westcap.com/","CEO|CFO|Board","Growth Equity|Private Equity","growth-equity|private-equity","","","","","","","","","United States","verified","2026-08-11"
"ent_one_way_ventures","One Way Ventures","one-way-ventures","Organization","Venture Capital","","https://onewayvc.com/","CEO|CFO","Venture Capital","venture-capital","","","","","","","","","United States","verified","2026-08-11"
"ent_chameleon_ventures","Chameleon Ventures","chameleon-ventures","Organization","Venture Capital","","https://www.chameleon.vc/","CEO|CFO","Venture Capital","venture-capital","","","","","","","","","United States","verified","2026-08-11"
"ent_pier_70_ventures","Pier 70 Ventures","pier-70-ventures","Organization","Venture Capital","","https://www.pier70ventures.com/","CEO|CFO","Venture Capital","venture-capital","","","","","","","","","United States","verified","2026-08-11"
"ent_western_technology_investment","Western Technology Investment","western-technology-investment","Organization","Private Credit","Venture Debt","https://www.wti.com/","CEO|CFO","Private Credit|Venture Debt","private-credit|venture-debt","","","","","","","","","United States","verified","2026-08-11"
"ent_avenue_capital_group","Avenue Capital Group","avenue-capital-group","Organization","Private Credit","","https://www.avenuecapital.com/","CEO|CFO","Private Credit","private-credit","","","","","","","","","United States","verified","2026-08-11"
"ent_brighttower","BrightTower","brighttower","Organization","Investment Banks","M&A Advisors","https://www.brighttower.com/","CEO|CFO","Investment Banks|M&A Advisors","investment-banks|m-a-advisors","","","","","","","","","United States","verified","2026-08-11"
"ent_intrepid_investment_bankers","Intrepid Investment Bankers","intrepid-investment-bankers","Organization","Investment Banks","M&A Advisors","https://intrepidib.com/","CEO|CFO","Investment Banks|M&A Advisors","investment-banks|m-a-advisors","","","","","","","","","United States","verified","2026-08-11"
"ent_foley_lardner","Foley & Lardner","foley-lardner","Organization","Law Firms","","https://www.foley.com/","CEO|CFO|CLO|General Counsel","Law Firms","law-firms","","","","","","","","","United States","verified","2026-08-11"
"ent_dla_piper","DLA Piper","dla-piper","Organization","Law Firms","","https://www.dlapiper.com/","CEO|CFO|CLO|General Counsel","Law Firms","law-firms","","","","","","","","","United States","verified","2026-08-11"
"ent_simmons_simmons","Simmons & Simmons","simmons-simmons","Organization","Law Firms","","https://www.simmons-simmons.com/","CFO|CLO|General Counsel","Law Firms","law-firms","","","","","","","","","United States","verified","2026-08-11"
"ent_orrick","Orrick","orrick","Organization","Law Firms","","https://www.orrick.com/","CEO|CFO|CLO|General Counsel","Law Firms","law-firms","","","","","","","","","United States","verified","2026-08-11"
"ent_harvey","Harvey","harvey","Organization","Legal Technology","Artificial Intelligence","https://www.harvey.ai/","CIO|CTO|CLO|General Counsel","Legal Technology|Artificial Intelligence","legal-technology|artificial-intelligence","","","","","","","","","United States","verified","2026-08-11"
"ent_rsm_us","RSM US","rsm-us","Organization","Accounting","Consulting|Finance Advisory","https://rsmus.com/","CEO|CFO|CIO","Accounting|Consulting|Finance Advisory","accounting|consulting|finance-advisory","","","","","","","","","United States","verified","2026-08-11"
"ent_cfgi","CFGI","cfgi","Organization","Accounting","Finance Advisory|Consulting","https://www.cfgi.com/","CFO","Accounting|Finance Advisory|Consulting","accounting|finance-advisory|consulting","","","","","","","","","United States","verified","2026-08-11"
"ent_armanino","Armanino","armanino","Organization","Accounting","Finance Advisory|Consulting","https://www.armanino.com/","CEO|CFO|CIO","Accounting|Finance Advisory|Consulting","accounting|finance-advisory|consulting","","","","","","","","","United States","verified","2026-08-11"
"ent_protiviti","Protiviti","protiviti","Organization","Consulting","Finance Advisory|Cybersecurity","https://www.protiviti.com/","CFO|CIO|CISO","Consulting|Finance Advisory|Cybersecurity","consulting|finance-advisory|cybersecurity","","","","","","","","","United States","verified","2026-08-11"
"ent_frank_rimerman_co","Frank, Rimerman + Co.","frank-rimerman-co","Organization","Accounting","Finance Advisory","https://www.frankrimerman.com/","CEO|CFO","Accounting|Finance Advisory","accounting|finance-advisory","","","","","","","","","United States","verified","2026-08-11"
"ent_burkland","Burkland","burkland","Organization","Finance Advisory","Accounting","https://burklandassociates.com/","CEO|CFO","Finance Advisory|Accounting","finance-advisory|accounting","","","","","","","","","United States","verified","2026-08-11"
"ent_danforth_advisors","Danforth Advisors","danforth-advisors","Organization","Finance Advisory","Accounting","https://danforthadvisors.com/","CEO|CFO","Finance Advisory|Accounting","finance-advisory|accounting","","","","","","","","","United States","verified","2026-08-11"
"ent_escalon","Escalon","escalon","Organization","Finance Advisory","Accounting|HR Technology","https://escalon.services/","CEO|CFO|CHRO","Finance Advisory|Accounting|HR Technology","finance-advisory|accounting|hr-technology","","","","","","","","","United States","verified","2026-08-11"
"ent_ghj","GHJ","ghj","Organization","Accounting","Finance Advisory","https://www.ghjadvisors.com/","CEO|CFO","Accounting|Finance Advisory","accounting|finance-advisory","","","","","","","","","United States","verified","2026-08-11"
"ent_era_group","ERA Group","era-group","Organization","Consulting","Finance Advisory","https://era.group/","CEO|CFO|COO","Consulting|Finance Advisory","consulting|finance-advisory","","","","","","","","","United States","verified","2026-08-11"
